date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:12	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d6793e19.png	Z:/Downloads/KBTJConsulting/wix/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d6793e19.png	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:12	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:12%20GMT	https://troy6593.wixsite.com/28073b9b.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/28073b9b.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:12	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:13%20GMT	https://troy6593.wixsite.com/5827dd21.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/5827dd21.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:13%20GMT	https://troy6593.wixsite.com/67aa2373.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/67aa2373.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:13%20GMT	https://troy6593.wixsite.com/72f3a86c.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/72f3a86c.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:13%20GMT	https://troy6593.wixsite.com/38b11c8b.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/38b11c8b.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:14%20GMT	https://troy6593.wixsite.com/ad9dbfcd.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/ad9dbfcd.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:14%20GMT	https://troy6593.wixsite.com/486d49c6.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/486d49c6.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:14%20GMT	https://troy6593.wixsite.com/857d2271.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/857d2271.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:14%20GMT	https://troy6593.wixsite.com/e41c3356.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/e41c3356.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:15%20GMT	https://troy6593.wixsite.com/874307cc.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/874307cc.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:15%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~common-site-members-dialogs.cf5fe8ef.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_common-site-members-dialogs.cf5fe8ef.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:15%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~bootstrap.46a319d7.chunk.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_bootstrap.46a319d7.chunk.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:15%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~bootstrap.857d2271.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_bootstrap.857d2271.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:16%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.338206b6.chunk.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.338206b6.chunk.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:16%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.e41c3356.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.e41c3356.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:16	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:16%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.71411152.chunk.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.71411152.chunk.min.css	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:16	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:16%20GMT	https://troy6593.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.874307cc.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.874307cc.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:17	420484/420484	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2005:20:17%20GMT	https://troy6593.wixsite.com/kbtj-consulting/blank-1	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/blank-1.html	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:18	3798/3798	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Dec%202022%2005:20:18%20GMT	https://static.wixstatic.com/media/11062b_6694be830cd1452ba1d012dc3593e29e~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_6694be830cd1452ba1d012dc3593e29e~mv2.jpg	Z:/Downloads/KBTJConsulting/wix/static.wixstatic.com/media/11062b_6694be830cd1452ba1d012dc3593e29e_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_6694be830cd1452ba1d012dc3593e29e_mv2.jpg	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:18	1081/1081	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Dec%202022%2005:20:19%20GMT	https://static.wixstatic.com/media/11062b_4318e84fec3b4a5689b86e1121f151f9~mv2.jpeg/v1/fill/w_50,h_33,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_4318e84fec3b4a5689b86e1121f151f9~mv2.jpeg	Z:/Downloads/KBTJConsulting/wix/static.wixstatic.com/media/11062b_4318e84fec3b4a5689b86e1121f151f9_mv2.jpeg/v1/fill/w_50,h_33,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_4318e84fec3b4a5689b86e1121f151f9_mv2.jpg	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:19	943564/943564	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2005:20:18%20GMT	https://troy6593.wixsite.com/kbtj-consulting/book-online	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/book-online.html	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:19	3354/3354	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Dec%202022%2005:20:20%20GMT	https://static.wixstatic.com/media/11062b_dd38548231d544e487e49bd50760c3b4~mv2.jpg/v1/fill/w_116,h_76,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_dd38548231d544e487e49bd50760c3b4~mv2.jpg	Z:/Downloads/KBTJConsulting/wix/static.wixstatic.com/media/11062b_dd38548231d544e487e49bd50760c3b4_mv2.jpg/v1/fill/w_116,h_76,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_dd38548231d544e487e49bd50760c3b4_mv2.jpg	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:20	1109/1109	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2005:20:20%20GMT	https://static.wixstatic.com/media/1ae1fa3c94da44ed90f789433558d966.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Client%201.png	Z:/Downloads/KBTJConsulting/wix/static.wixstatic.com/media/1ae1fa3c94da44ed90f789433558d966.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Client%201.png	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:20	860/860	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2005:20:20%20GMT	https://static.wixstatic.com/media/175d9a096f174d819f80b533069116cb.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Client%207.png	Z:/Downloads/KBTJConsulting/wix/static.wixstatic.com/media/175d9a096f174d819f80b533069116cb.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Client%207.png	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:21	971/971	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2005:20:21%20GMT	https://static.wixstatic.com/media/64453492563a4dd4a6fff4dd901e6040.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Client%208.png	Z:/Downloads/KBTJConsulting/wix/static.wixstatic.com/media/64453492563a4dd4a6fff4dd901e6040.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Client%208.png	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:21	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:21%20GMT	https://troy6593.wixsite.com/kbtj-consulting/decodeURIComponent(e	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/decodeURIComponent(e	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:21	828902/828902	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2005:20:19%20GMT	https://troy6593.wixsite.com/kbtj-consulting/service-page/introductory-consultation	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/service-page/introductory-consultation.html	(from https://troy6593.wixsite.com/kbtj-consulting)
09:20:21	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:22%20GMT	https://troy6593.wixsite.com/kbtj-consulting/robots.txt	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/robots.txt	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:22	400/400	---M--	200	added ('OK')	text/xml	date:Tue,%2020%20Dec%202022%2005:20:22%20GMT	https://troy6593.wixsite.com/kbtj-consulting/sitemap.xml	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/sitemap.xml	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:22	2936/2936	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:23%20GMT	https://troy6593.wixsite.com/kbtj-consulting/feed.xml	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/feed.xml	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:22	84762/84762	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f310971731bc3823e2af1d6f681db3ab%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7743bb2d.bundle.min.js	Z:/Downloads/KBTJConsulting/wix/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7743bb2d.bundle.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:23	173586/173586	---M-Z	200	added ('OK')	application/javascript	etag:W/%22399190969d5ebdc62da1c0e848cd0181%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.4e22dccc.bundle.min.js	Z:/Downloads/KBTJConsulting/wix/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.4e22dccc.bundle.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:23	2180/2180	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c0a14c97d124f1ca035a9b684cb7ca5e%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/openPerformanceTool.2e00d52f.bundle.min.js	Z:/Downloads/KBTJConsulting/wix/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/openPerformanceTool.2e00d52f.bundle.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:23	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:24%20GMT	https://troy6593.wixsite.com/kbtj-consulting/5827dd21.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/5827dd21.min.css	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:24	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:24%20GMT	https://troy6593.wixsite.com/kbtj-consulting/72f3a86c.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/72f3a86c.min.css	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:24	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:24%20GMT	https://troy6593.wixsite.com/kbtj-consulting/ad9dbfcd.min.css	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/ad9dbfcd.min.css	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:24	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:24%20GMT	https://troy6593.wixsite.com/kbtj-consulting/857d2271.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/857d2271.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:24	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:25%20GMT	https://troy6593.wixsite.com/kbtj-consulting/e41c3356.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/e41c3356.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:25	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:25%20GMT	https://troy6593.wixsite.com/kbtj-consulting/874307cc.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/874307cc.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
09:20:25	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Dec%202022%2005:20:25%20GMT	https://troy6593.wixsite.com/kbtj-consulting/rb_wixui.thunderbolt~common-site-members-dialogs.cf5fe8ef.chunk.min.js	Z:/Downloads/KBTJConsulting/wix/troy6593.wixsite.com/kbtj-consulting/rb_wixui.thunderbolt_common-site-members-dialogs.cf5fe8ef.chunk.min.js	(from https://troy6593.wixsite.com/kbtj-consulting/blank-1)
